Freq_GHz,S11_dB
2.000000000000000000e+00,-5.514602774832356724e-01
2.002499999999999947e+00,-5.537636058609292089e-01
2.004999999999999893e+00,-5.560933423761043048e-01
2.007499999999999840e+00,-5.584499683559449590e-01
2.009999999999999787e+00,-5.608339780015537679e-01
2.012500000000000178e+00,-5.632458787824746738e-01
2.015000000000000124e+00,-5.656861918456307370e-01
2.017500000000000071e+00,-5.681554524392153915e-01
2.020000000000000018e+00,-5.706542103522400655e-01
2.022499999999999964e+00,-5.731830303703757679e-01
2.024999999999999911e+00,-5.757424927487291288e-01
2.027499999999999858e+00,-5.783331937023293845e-01
2.029999999999999805e+00,-5.809557459151184489e-01
2.032500000000000195e+00,-5.836107790681158702e-01
2.035000000000000142e+00,-5.862989403877469918e-01
2.037500000000000089e+00,-5.890208952150672861e-01
2.040000000000000036e+00,-5.917773275969000490e-01
2.042499999999999982e+00,-5.945689408997963943e-01
2.044999999999999929e+00,-5.973964584478625994e-01
2.047499999999999876e+00,-6.002606241854604452e-01
2.049999999999999822e+00,-6.031622033659521653e-01
2.052500000000000213e+00,-6.061019832676094454e-01
2.055000000000000160e+00,-6.090807739379682229e-01
2.057500000000000107e+00,-6.120994089678419847e-01
2.060000000000000053e+00,-6.151587462964156483e-01
2.062500000000000000e+00,-6.182596690488071367e-01
2.064999999999999947e+00,-6.214030864076046656e-01
2.067499999999999893e+00,-6.245899345199530384e-01
2.069999999999999840e+00,-6.278211774418465119e-01
2.072499999999999787e+00,-6.310978081213516333e-01
2.075000000000000178e+00,-6.344208494226311057e-01
2.077500000000000124e+00,-6.377913551926460700e-01
2.080000000000000071e+00,-6.412104113726680987e-01
2.082500000000000018e+00,-6.446791371565614437e-01
2.084999999999999964e+00,-6.481986861983339843e-01
2.087499999999999911e+00,-6.517702478711091540e-01
2.089999999999999858e+00,-6.553950485801994796e-01
2.092499999999999805e+00,-6.590743531327796223e-01
2.095000000000000195e+00,-6.628094661670863585e-01
2.097500000000000142e+00,-6.666017336439984398e-01
2.100000000000000089e+00,-6.704525444041173898e-01
2.102500000000000036e+00,-6.743633317936603699e-01
2.104999999999999982e+00,-6.783355753626278961e-01
2.107499999999999929e+00,-6.823708026388329850e-01
2.109999999999999876e+00,-6.864705909818165086e-01
2.112499999999999822e+00,-6.906365695205424204e-01
2.115000000000000213e+00,-6.948704211793587104e-01
2.117500000000000160e+00,-6.991738847967420289e-01
2.120000000000000107e+00,-7.035487573416105977e-01
2.122500000000000053e+00,-7.079968962324484361e-01
2.125000000000000000e+00,-7.125202217645594249e-01
2.127499999999999947e+00,-7.171207196512561222e-01
2.129999999999999893e+00,-7.218004436850486982e-01
2.132499999999999840e+00,-7.265615185252928265e-01
2.134999999999999787e+00,-7.314061426191621473e-01
2.137500000000000178e+00,-7.363365912631480992e-01
2.140000000000000124e+00,-7.413552198128637860e-01
2.142500000000000071e+00,-7.464644670492269762e-01
2.145000000000000018e+00,-7.516668587098017662e-01
2.147499999999999964e+00,-7.569650111944352666e-01
2.149999999999999911e+00,-7.623616354550359908e-01
2.152499999999999858e+00,-7.678595410798429999e-01
2.154999999999999805e+00,-7.734616405833105723e-01
2.157500000000000195e+00,-7.791709539133488960e-01
2.160000000000000142e+00,-7.849906131884500926e-01
2.162500000000000089e+00,-7.909238676779940524e-01
2.165000000000000036e+00,-7.969740890400343059e-01
2.167499999999999982e+00,-8.031447768315604918e-01
2.169999999999999929e+00,-8.094395643074292490e-01
2.172499999999999876e+00,-8.158622245251474503e-01
2.174999999999999822e+00,-8.224166767737901562e-01
2.177500000000000213e+00,-8.291069933466664876e-01
2.180000000000000160e+00,-8.359374066785354440e-01
2.182500000000000107e+00,-8.429123168697300050e-01
2.185000000000000053e+00,-8.500362996209591682e-01
2.187500000000000000e+00,-8.573141146042475569e-01
2.189999999999999947e+00,-8.647507142972137295e-01
2.192499999999999893e+00,-8.723512533098031208e-01
2.194999999999999840e+00,-8.801210982346258094e-01
2.197499999999999787e+00,-8.880658380542428842e-01
2.200000000000000178e+00,-8.961912951410598849e-01
2.202500000000000124e+00,-9.045035368882192728e-01
2.205000000000000071e+00,-9.130088880123898853e-01
2.207500000000000018e+00,-9.217139435725263397e-01
2.209999999999999964e+00,-9.306255827517867507e-01
2.212499999999999911e+00,-9.397509834533147588e-01
2.214999999999999858e+00,-9.490976377643102202e-01
2.217499999999999805e+00,-9.586733683468390277e-01
2.220000000000000195e+00,-9.684863458183302631e-01
2.222500000000000142e+00,-9.785451071893616071e-01
2.225000000000000089e+00,-9.888585754314964671e-01
2.227500000000000036e+00,-9.994360802535157129e-01
2.229999999999999982e+00,-1.010287380170509453e+00
2.232499999999999929e+00,-1.021422685956644427e+00
2.234999999999999876e+00,-1.032852685579859431e+00
2.237499999999999822e+00,-1.044588570724056531e+00
2.240000000000000213e+00,-1.056642065013188914e+00
2.242500000000000160e+00,-1.069025454060398728e+00
2.245000000000000107e+00,-1.081751617475490201e+00
2.247500000000000053e+00,-1.094834062974790356e+00
2.250000000000000000e+00,-1.108286962749121196e+00
2.252499999999999947e+00,-1.122125192258538906e+00
2.254999999999999893e+00,-1.136364371636342296e+00
2.257499999999999840e+00,-1.151020909900145828e+00
2.259999999999999787e+00,-1.166112052184432812e+00
2.262500000000000178e+00,-1.181655930227091922e+00
2.265000000000000124e+00,-1.197671616362341096e+00
2.267500000000000071e+00,-1.214179181294017029e+00
2.270000000000000018e+00,-1.231199755947045116e+00
2.272499999999999964e+00,-1.248755597720742960e+00
2.274999999999999911e+00,-1.266870161496054026e+00
2.277499999999999858e+00,-1.285568175780005262e+00
2.279999999999999805e+00,-1.304875724404845450e+00
2.282500000000000195e+00,-1.324820334236689545e+00
2.285000000000000142e+00,-1.345431069389859680e+00
2.287500000000000089e+00,-1.366738632488171401e+00
2.290000000000000036e+00,-1.388775473564298313e+00
2.292499999999999982e+00,-1.411575907243016959e+00
2.294999999999999929e+00,-1.435176238914465108e+00
2.297499999999999876e+00,-1.459614900670019644e+00
2.299999999999999822e+00,-1.484932597846694069e+00
2.302500000000000213e+00,-1.511172467106856487e+00
2.305000000000000160e+00,-1.538380247069546680e+00
2.307500000000000107e+00,-1.566604462608513826e+00
2.310000000000000053e+00,-1.595896624041523548e+00
2.312500000000000000e+00,-1.626311442556958475e+00
2.314999999999999947e+00,-1.657907063357879185e+00
2.317499999999999893e+00,-1.690745318153595855e+00
2.319999999999999840e+00,-1.724891998794373160e+00
2.322499999999999787e+00,-1.760417154030087250e+00
2.325000000000000178e+00,-1.797395411579478797e+00
2.327500000000000124e+00,-1.835906327926597026e+00
2.330000000000000071e+00,-1.876034768518218154e+00
2.332500000000000018e+00,-1.917871321323560529e+00
2.334999999999999964e+00,-1.961512747040794480e+00
2.337499999999999911e+00,-2.007062469597436394e+00
2.339999999999999858e+00,-2.054631111000537302e+00
2.342499999999999805e+00,-2.104337075053924089e+00
2.345000000000000195e+00,-2.156307184981856473e+00
2.347500000000000142e+00,-2.210677380591067109e+00
2.350000000000000089e+00,-2.267593481277499379e+00
2.352500000000000036e+00,-2.327212021954126353e+00
2.354999999999999982e+00,-2.389701169858830632e+00
2.357499999999999929e+00,-2.455241731215930923e+00
2.359999999999999876e+00,-2.524028257897395378e+00
2.362499999999999822e+00,-2.596270265589094350e+00
2.365000000000000213e+00,-2.672193576552067462e+00
2.367500000000000160e+00,-2.752041801924220543e+00
2.370000000000000107e+00,-2.836077980692788714e+00
2.372500000000000053e+00,-2.924586395054262322e+00
2.375000000000000000e+00,-3.017874584958470496e+00
2.377499999999999947e+00,-3.116275588323154100e+00
2.379999999999999893e+00,-3.220150437853020797e+00
2.382499999999999840e+00,-3.329890950792744331e+00
2.384999999999999787e+00,-3.445922854532332380e+00
2.387500000000000178e+00,-3.568709299081849196e+00
2.390000000000000124e+00,-3.698754817455194299e+00
2.392500000000000071e+00,-3.836609807489895108e+00
2.395000000000000018e+00,-3.982875624295041384e+00
2.397499999999999964e+00,-4.138210392307825281e+00
2.399999999999999911e+00,-4.303335671110549931e+00
2.402499999999999858e+00,-4.479044141407009683e+00
2.404999999999999805e+00,-4.666208519169515512e+00
2.407500000000000195e+00,-4.865791960065712907e+00
2.410000000000000142e+00,-5.078860287150415154e+00
2.412500000000000089e+00,-5.306596468415900603e+00
2.415000000000000036e+00,-5.550317895484994324e+00
2.417499999999999982e+00,-5.811497182333859257e+00
2.419999999999999929e+00,-6.091787430413444504e+00
2.422499999999999876e+00,-6.393053218540520000e+00
2.424999999999999822e+00,-6.717409008740284015e+00
2.427500000000000213e+00,-7.067267267074935688e+00
2.430000000000000160e+00,-7.445399463741393831e+00
2.432500000000000107e+00,-7.855014366550568283e+00
2.435000000000000053e+00,-8.299859876303253614e+00
2.437500000000000000e+00,-8.784357392042302592e+00
2.439999999999999947e+00,-9.313781862537664935e+00
2.442499999999999893e+00,-9.894507151329282379e+00
2.444999999999999840e+00,-1.053434660243287624e+01
2.447499999999999787e+00,-1.124303531541264789e+01
2.450000000000000178e+00,-1.203292812803350920e+01
2.452500000000000124e+00,-1.292003352250188186e+01
2.455000000000000071e+00,-1.392558170908992921e+01
2.457500000000000018e+00,-1.507845288311562548e+01
2.459999999999999964e+00,-1.641897032085481456e+01
2.462499999999999911e+00,-1.800462276802932848e+01
2.464999999999999858e+00,-1.991690202748387861e+01
2.467499999999999805e+00,-2.225673096855651778e+01
2.470000000000000195e+00,-2.503480224299989487e+01
2.472500000000000142e+00,-2.747036328750798262e+01
2.475000000000000089e+00,-2.716407103677189738e+01
2.477500000000000036e+00,-2.452459557562816883e+01
2.479999999999999982e+00,-2.180827214264080993e+01
2.482499999999999929e+00,-1.955111665061425441e+01
2.484999999999999876e+00,-1.770405377801579050e+01
2.487499999999999822e+00,-1.616732122478002864e+01
2.490000000000000213e+00,-1.486406097886332311e+01
2.492500000000000160e+00,-1.374033814604205084e+01
2.495000000000000107e+00,-1.275821959106910874e+01
2.497500000000000053e+00,-1.189041584001421370e+01
2.500000000000000000e+00,-1.111677387352985491e+01
2.502499999999999947e+00,-1.042203234402064282e+01
2.504999999999999893e+00,-9.794367352616578870e+00
2.507499999999999840e+00,-9.224429705572031679e+00
2.509999999999999787e+00,-8.704692288018669899e+00
2.512500000000000178e+00,-8.228997374465551573e+00
2.515000000000000124e+00,-7.792235818927037982e+00
2.517500000000000071e+00,-7.390115181205048067e+00
2.520000000000000018e+00,-7.018989084026751257e+00
2.522499999999999964e+00,-6.675729537732735253e+00
2.524999999999999911e+00,-6.357629947280853955e+00
2.527499999999999858e+00,-6.062330381465990570e+00
2.529999999999999805e+00,-5.787759233303116702e+00
2.532500000000000195e+00,-5.532087112995870193e+00
2.535000000000000142e+00,-5.293689985195406678e+00
2.537500000000000089e+00,-5.071119374696473336e+00
2.540000000000000036e+00,-4.863078036925116088e+00
2.542499999999999982e+00,-4.668399897953612765e+00
2.544999999999999929e+00,-4.486033363779976746e+00
2.547499999999999876e+00,-4.315027314106377965e+00
2.549999999999999822e+00,-4.154519254880591816e+00
2.552500000000000213e+00,-4.003725222355138058e+00
2.555000000000000160e+00,-3.861931120480909918e+00
2.557500000000000107e+00,-3.728485240962580605e+00
2.560000000000000053e+00,-3.602791766876586976e+00
2.562500000000000000e+00,-3.484305100457581350e+00
2.564999999999999947e+00,-3.372524886445089187e+00
2.567499999999999893e+00,-3.266991626429760487e+00
2.569999999999999840e+00,-3.167282798550263845e+00
2.572499999999999787e+00,-3.073009411871287178e+00
2.575000000000000178e+00,-2.983812936718218900e+00
2.577500000000000124e+00,-2.899362561835742369e+00
2.580000000000000071e+00,-2.819352736991817210e+00
2.582500000000000018e+00,-2.743500965960132820e+00
2.584999999999999964e+00,-2.671545819985439607e+00
2.587499999999999911e+00,-2.603245146102770136e+00
2.589999999999999858e+00,-2.538374448221895285e+00
2.592499999999999805e+00,-2.476725421848327890e+00
2.595000000000000195e+00,-2.418104625798103591e+00
2.597500000000000142e+00,-2.362332276367607342e+00
2.600000000000000089e+00,-2.309241151206549603e+00
2.602500000000000036e+00,-2.258675591672209659e+00
2.604999999999999982e+00,-2.210490593754912414e+00
2.607499999999999929e+00,-2.164550978799712588e+00
2.609999999999999876e+00,-2.120730636231177524e+00
2.612499999999999822e+00,-2.078911831344767869e+00
2.615000000000000213e+00,-2.038984571975523519e+00
2.617500000000000160e+00,-2.000846028511137575e+00
2.620000000000000107e+00,-1.964400002293096525e+00
2.622500000000000053e+00,-1.929556437959213167e+00
2.625000000000000000e+00,-1.896230975730510471e+00
2.627499999999999947e+00,-1.864344540046065868e+00
2.629999999999999893e+00,-1.833822961303477772e+00
2.632499999999999840e+00,-1.804596627779838647e+00
2.634999999999999787e+00,-1.776600165089890382e+00
2.637500000000000178e+00,-1.749772140790925024e+00
2.640000000000000124e+00,-1.724054791969657829e+00
2.642500000000000071e+00,-1.699393773849411371e+00
2.645000000000000018e+00,-1.675737927637662716e+00
2.647499999999999964e+00,-1.653039065998072266e+00
2.649999999999999911e+00,-1.631251774678167177e+00
2.652499999999999858e+00,-1.610333228957067098e+00
2.654999999999999805e+00,-1.590243023697051061e+00
2.657500000000000195e+00,-1.570943015891527184e+00
2.660000000000000142e+00,-1.552397178699315816e+00
2.662500000000000089e+00,-1.534571466044132526e+00
2.665000000000000036e+00,-1.517433686937993631e+00
2.667499999999999982e+00,-1.500953388760245533e+00
2.669999999999999929e+00,-1.485101748789481313e+00
2.672499999999999876e+00,-1.469851473345837434e+00
2.674999999999999822e+00,-1.455176703955203266e+00
2.677500000000000213e+00,-1.441052929996393894e+00
2.680000000000000160e+00,-1.427456907337352643e+00
2.682500000000000107e+00,-1.414366582507282866e+00
2.685000000000000053e+00,-1.401761021988847444e+00
2.687500000000000000e+00,-1.389620346248726657e+00
2.689999999999999947e+00,-1.377925668155518313e+00
2.692499999999999893e+00,-1.366659035462612026e+00
2.694999999999999840e+00,-1.355803377059136228e+00
2.697499999999999787e+00,-1.345342452715958315e+00
2.700000000000000178e+00,-1.335260806075113882e+00
2.702500000000000124e+00,-1.325543720650940172e+00
2.705000000000000071e+00,-1.316177178629043043e+00
2.707500000000000018e+00,-1.307147822266080395e+00
2.709999999999999964e+00,-1.298442917708226618e+00
2.712499999999999911e+00,-1.290050321060296268e+00
2.714999999999999858e+00,-1.281958446550176545e+00
2.717499999999999805e+00,-1.274156236644924611e+00
2.720000000000000195e+00,-1.266633133985769266e+00
2.722500000000000142e+00,-1.259379055018950755e+00
2.725000000000000089e+00,-1.252384365208661698e+00
2.727500000000000036e+00,-1.245639855726504486e+00
2.729999999999999982e+00,-1.239136721519739748e+00
2.732499999999999929e+00,-1.232866540667616251e+00
2.734999999999999876e+00,-1.226821254941659944e+00
2.737499999999999822e+00,-1.220993151491763573e+00
2.740000000000000213e+00,-1.215374845585532437e+00
2.742500000000000160e+00,-1.209959264333483775e+00
2.745000000000000107e+00,-1.204739631337365946e+00
2.747500000000000053e+00,-1.199709452203332694e+00
2.750000000000000000e+00,-1.194862500865662369e+00
2.752499999999999947e+00,-1.190192806670544945e+00
2.754999999999999893e+00,-1.185694642172799407e+00
2.757499999999999840e+00,-1.181362511601806498e+00
2.759999999999999787e+00,-1.177191139955541921e+00
2.762500000000000178e+00,-1.173175462684830972e+00
2.765000000000000124e+00,-1.169310615932018571e+00
2.767500000000000071e+00,-1.165591927290952512e+00
2.770000000000000018e+00,-1.162014907057180579e+00
2.772499999999999964e+00,-1.158575239939381163e+00
2.774999999999999911e+00,-1.155268777204951025e+00
2.777499999999999858e+00,-1.152091529234319678e+00
2.779999999999999805e+00,-1.149039658460367708e+00
2.782500000000000195e+00,-1.146109472670632012e+00
2.785000000000000142e+00,-1.143297418651641806e+00
2.787500000000000089e+00,-1.140600076155787956e+00
2.790000000000000036e+00,-1.138014152172530657e+00
2.792499999999999982e+00,-1.135536475486867092e+00
2.794999999999999929e+00,-1.133163991508914670e+00
2.797499999999999876e+00,-1.130893757359654694e+00
2.799999999999999822e+00,-1.128722937198632259e+00
2.802500000000000213e+00,-1.126648797780377853e+00
2.805000000000000160e+00,-1.124668704227048455e+00
2.807500000000000107e+00,-1.122780116005638984e+00
2.810000000000000053e+00,-1.120980583098618810e+00
2.812500000000000000e+00,-1.119267742357837214e+00
2.814999999999999947e+00,-1.117639314031746656e+00
2.817499999999999893e+00,-1.116093098456881094e+00
2.819999999999999840e+00,-1.114626972904999125e+00
2.822499999999999787e+00,-1.113238888577607000e+00
2.825000000000000178e+00,-1.111926867740374414e+00
2.827500000000000124e+00,-1.110689000990115805e+00
2.830000000000000071e+00,-1.109523444647546819e+00
2.832500000000000018e+00,-1.108428418269408189e+00
2.834999999999999964e+00,-1.107402202273964464e+00
2.837499999999999911e+00,-1.106443135673979228e+00
2.839999999999999858e+00,-1.105549613912015117e+00
2.842499999999999805e+00,-1.104720086792753797e+00
2.845000000000000195e+00,-1.103953056507649189e+00
2.847500000000000142e+00,-1.103247075747294303e+00
2.850000000000000089e+00,-1.102600745897245105e+00
2.852500000000000036e+00,-1.102012715313226199e+00
2.854999999999999982e+00,-1.101481677671830139e+00
2.857499999999999929e+00,-1.101006370393134315e+00
2.859999999999999876e+00,-1.100585573131746431e+00
2.862499999999999822e+00,-1.100218106333030965e+00
2.865000000000000213e+00,-1.099902829851439501e+00
2.867500000000000160e+00,-1.099638641627962210e+00
2.870000000000000107e+00,-1.099424476424024633e+00
2.872500000000000053e+00,-1.099259304609103483e+00
2.875000000000000000e+00,-1.099142130999629652e+00
2.877499999999999947e+00,-1.099071993746793652e+00
2.879999999999999893e+00,-1.099047963270970651e+00
2.882499999999999840e+00,-1.099069141240744507e+00
2.884999999999999787e+00,-1.099134659594370733e+00
2.887500000000000178e+00,-1.099243679601866308e+00
2.890000000000000124e+00,-1.099395390965854924e+00
2.892500000000000071e+00,-1.099589010959401980e+00
2.895000000000000018e+00,-1.099823783599310101e+00
2.897499999999999964e+00,-1.100098978853161436e+00
2.899999999999999911e+00,-1.100413891878717854e+00
2.902499999999999858e+00,-1.100767842294219978e+00
2.904999999999999805e+00,-1.101160173478266557e+00
2.907500000000000195e+00,-1.101590251897956785e+00
2.910000000000000142e+00,-1.102057466464080537e+00
2.912500000000000089e+00,-1.102561227912261410e+00
2.915000000000000036e+00,-1.103100968208800881e+00
2.917499999999999982e+00,-1.103676139980318993e+00
2.919999999999999929e+00,-1.104286215966088003e+00
2.922499999999999876e+00,-1.104930688492173685e+00
2.924999999999999822e+00,-1.105609068966355135e+00
2.927500000000000213e+00,-1.106320887393085872e+00
2.930000000000000160e+00,-1.107065691907579197e+00
2.932500000000000107e+00,-1.107843048328260416e+00
2.935000000000000053e+00,-1.108652539726759700e+00
2.937500000000000000e+00,-1.109493766014853389e+00
2.939999999999999947e+00,-1.110366343547509071e+00
2.942499999999999893e+00,-1.111269904741475578e+00
2.944999999999999840e+00,-1.112204097708785033e+00
2.947499999999999787e+00,-1.113168585904475760e+00
2.950000000000000178e+00,-1.114163047788049088e+00
2.952500000000000124e+00,-1.115187176498098287e+00
2.955000000000000071e+00,-1.116240679539515890e+00
2.957500000000000018e+00,-1.117323278482813986e+00
2.959999999999999964e+00,-1.118434708675136058e+00
2.962499999999999911e+00,-1.119574718962350168e+00
2.964999999999999858e+00,-1.120743071421948622e+00
2.967499999999999805e+00,-1.121939541106175886e+00
2.970000000000000195e+00,-1.123163915795065249e+00
2.972500000000000142e+00,-1.124415995759028952e+00
2.975000000000000089e+00,-1.125695593530464889e+00
2.977500000000000036e+00,-1.127002533684217545e+00
2.979999999999999982e+00,-1.128336652626419578e+00
2.982499999999999929e+00,-1.129697798391425811e+00
2.984999999999999876e+00,-1.131085830446499019e+00
2.987499999999999822e+00,-1.132500619503973516e+00
2.990000000000000213e+00,-1.133942047340601444e+00
2.992500000000000160e+00,-1.135410006623750689e+00
2.995000000000000107e+00,-1.136904400744255472e+00
2.997500000000000053e+00,-1.138425143655566352e+00
3.000000000000000000e+00,-1.139972159719085054e+00
